region,date,lat,lon,sst_fahrenheit
San Diego,2025-07-01,33.30276410218256,-118.16919213042296,290.187
San Diego,2025-07-01,33.30355033768317,-118.14487364677777,290.1579
San Diego,2025-07-01,33.30433773790908,-118.12054921651261,290.16046
San Diego,2025-07-01,33.30512630376876,-118.09621882857341,290.33533
San Diego,2025-07-01,33.305916036172526,-118.0718824718882,290.43094
San Diego,2025-07-01,33.306706936032775,-118.04754013536686,290.48276
San Diego,2025-07-01,33.307499215188464,-118.02318532803713,290.6569
San Diego,2025-07-01,33.30829245301904,-117.99883099690106,290.94714
San Diego,2025-07-01,33.309086861056606,-117.97447065254553,291.0068
San Diego,2025-07-01,33.30988244022202,-117.95010428380715,291.07056
San Diego,2025-07-01,33.3106791914382,-117.92573187950408,291.126
San Diego,2025-07-01,33.31147711563067,-117.90135342843575,291.14746
San Diego,2025-07-01,33.312276213726534,-117.87696891938337,291.02286
San Diego,2025-07-01,33.31307648665498,-117.85257834110953,290.96265
San Diego,2025-07-01,33.31387793534803,-117.82818168235778,290.90872
San Diego,2025-07-01,33.314680560739454,-117.80377893185319,290.8518
San Diego,2025-07-01,33.315484577812626,-117.77936358231796,290.79086
San Diego,2025-07-01,33.31628955972365,-117.75494861277978,290.7736
San Diego,2025-07-01,33.31709572114721,-117.73052751754838,290.73605
San Diego,2025-07-01,33.317903063025696,-117.70610028527337,290.74503
San Diego,2025-07-01,33.318711586303536,-117.68166690458561,290.63544
San Diego,2025-07-01,33.319521291927764,-117.65722736409646,290.4978
San Diego,2025-07-01,33.320332180846954,-117.63278165239875,290.40848
San Diego,2025-07-01,33.32114425401228,-117.60832975806579,290.36044
San Diego,2025-07-01,33.3219575123771,-117.58387166965174,290.19727
San Diego,2025-07-01,33.322771956896865,-117.55940737569153,290.0519
San Diego,2025-07-01,33.323587805726184,-117.53493035229398,289.95923
San Diego,2025-07-01,33.3244046257474,-117.51045361110985,290.486
San Diego,2025-07-01,33.27854535847571,-118.17552653706377,290.2219
San Diego,2025-07-01,33.27933049178404,-118.1512174609607,290.16013
San Diego,2025-07-01,33.28011678800804,-118.12690244565383,290.22464
San Diego,2025-07-01,33.28090424805363,-118.1025814801066,290.12952
San Diego,2025-07-01,33.28169287282892,-118.07825455326426,290.1946
San Diego,2025-07-01,33.2824826632445,-118.05392165405361,290.293
San Diego,2025-07-01,33.28327383084094,-118.02957629403416,290.52182
San Diego,2025-07-01,33.28406595558705,-118.00523141519865,290.73383
San Diego,2025-07-01,33.284859248717126,-117.98088053066373,290.86942
San Diego,2025-07-01,33.28565371115023,-117.95652362928308,290.8154
San Diego,2025-07-01,33.28644934380685,-117.93216069989256,290.84744
San Diego,2025-07-01,33.28724614760992,-117.9077917313093,290.88724
San Diego,2025-07-01,33.28804412348505,-117.8834167123315,291.10452
San Diego,2025-07-01,33.28884327235895,-117.85903563173963,290.98746
San Diego,2025-07-01,33.289643595161095,-117.834648478295,290.9609
San Diego,2025-07-01,33.290445092822964,-117.81025524074042,290.92062
San Diego,2025-07-01,33.29124798002583,-117.78584941434953,291.09183
San Diego,2025-07-01,33.292051830523874,-117.7614439731016,291.02536
San Diego,2025-07-01,33.29285685868916,-117.73703241385655,291.05072
San Diego,2025-07-01,33.29366306546245,-117.71261472528138,291.0434
San Diego,2025-07-01,33.2944704517854,-117.68819089602518,290.89957
San Diego,2025-07-01,33.29527901860281,-117.66376091471729,290.78143
San Diego,2025-07-01,33.29608876686107,-117.63932476996841,290.57858
San Diego,2025-07-01,33.296899697509396,-117.61488245036962,290.4681
San Diego,2025-07-01,33.29771181149833,-117.59043394449357,290.38812
San Diego,2025-07-01,33.29852510978151,-117.56597924089291,290.2586
San Diego,2025-07-01,33.29933981020506,-117.54151181825014,290.07266
San Diego,2025-07-01,33.30015548026044,-117.51704468312568,289.9467
San Diego,2025-07-01,33.300972337483046,-117.49257131581672,290.32047
San Diego,2025-07-01,33.254337214629054,-118.1818503443323,290.41284
San Diego,2025-07-01,33.25512124787916,-118.15755065847488,290.2324
San Diego,2025-07-01,33.255906442238945,-118.1332450408101,290.1146
San Diego,2025-07-01,33.256692798612214,-118.10893348031846,290.22556
San Diego,2025-07-01,33.25748031790556,-118.0846159659619,290.1982
San Diego,2025-07-01,33.25826900102676,-118.06029248668486,290.16226
San Diego,2025-07-01,33.259059059218956,-118.03595655657361,290.23636
San Diego,2025-07-01,33.25985007303896,-118.01162111262103,290.45374
San Diego,2025-07-01,33.26064225342459,-117.9872796704682,290.56516
San Diego,2025-07-01,33.26143560129176,-117.96293221898695,290.616
